EN,AL,AM,CN,DE,DK,EE,ES,FA,FI,FR,GE,GR,HU,IT,JP,KR,MG,MS,PL,PT,RO,RU,SE,TA,TH,TR,US,ZU
pound,godas,զարկել,重重地击打,hämmern,hamre,taguma,golpear,کوبیدن,rynkyttää,battre,"ცემა, ძგერა (გულის)",χτυπάω,üt,battere,叩く,두드리다,mikapoka,memukul,walić,martelar,"a bate, a lovi",бить(ся),dunka,தூளாக்கு,"ตำ โขลก""",dövmek,pound,qongqotha
rock,shkëmb,քար,石块,Stein,sten,kivi,piedra,صخره,kivi,pierre,ქვა,πέτρα,kő,sasso,岩,돌,vato,batu,kamień,pedra,piatră,камень,sten,பாறை,หิน,kaya,rock,idwala
sharp,I mprehtë,սուր (ոչ բութ),锋利,scharf,skarp,terav,afilado,باهوش,terävä,aiguisé,ბასრი,κοφτερός,éles,affilato,鋭い,날카롭다,masiaka,tajam,ostry,afiado,ascuțit,острый,vass,கூர்மையான,แหลมคม,keskin,sharp,kucijile
sleep,fle,քնել,睡觉,schlafen,sove,magama,dormir,خوابیدن,nukkua,dormir,ძილი,κοιμάμαι,alszik,dormire,眠る,자다,matory,tidur,spać,dormir,a dormi,спать,sova,தூங்கு,นอน,uyumak,sleep,lala
small,I vogël,փոքր,小,klein,lille,väike,pequeño,کوچک,pieni,petit,პატარა,μικρός,kicsi,piccolo,小さい,작다,kely,kecil,mały,pequeno ,mic,маленький,liten,சிறிய,เล็ก,küçük,small,ncane
snake,gjarpër,օձ,蛇,Schlange,slange,madu,serpiente,مار,käärme,serpent,გველი,φίδι,kígyó,serpente,蛇,뱀,bibilava,ular,wąż,cobra,șarpe,змея,orm,பாம்பு,งู,yılan,snake,inyoka
that,ai/ajo,այդ,那,das,denne/dette (der),too,eso,آن,tuo,celui-là,ის,εκείνο,az,quello,あれ,그,ny,itu,tamto,"isso, aquilo",aceea,тот,den där,அந்த,นั้น,şu,that,lokho
this,ky/kjo,այս,这,dies,denne/dette (her),see,esto,این,tämä,celui-ci,ეს,αυτό,ez,questo,これ,이,inty,ini,to,isto,acest,этот,den här,இந்த,นี้,bu,this,lokhu
tiger,tigër,վագր,老虎,Tiger,tiger,tiiger,tigre,ببر,tiikeri,tigre,ვეფხვი,τίγρης,tigris,tigre,虎,호랑이,tigra,harimau,tygrys,onça,tigru,тигр,tiger,புலி,เสือ,kaplan,tiger,ibhubesi
water,ujë,ջուր,水,Wasser,vand,vesi,agua,آب,vesi,eau,წყალი,νερό,víz,acqua,水,물,rano,air,woda,água,apă,вода,vatten,தண்ணீர்,น้ำ,su,water,amanzi
woman,grua,կին,女人,Frau,kvinde,naine,mujer,زن,nainen,femme,ქალი,γυναίκα,nő,donna,女,여자,ramatoa,perempuan,kobieta,mulher,femeie,женщина,kvinna,மனுஷி,ผู้หญิง,kadın,woman,umfazi
clapping,duke duartrokitur,ծափահարություն,击掌,Klatschen,klappe,plaksutamine,palmadas,کف‌زدن,taputtaa,applaudissements,"ტაშის დაკვრა, შემოკვრა",παλαμάκια,taps,applauso,拍手,박수,mitehaka,tepukan,klaskanie,bater palmas,aplauze,хлопание,handklappning,கைதட்டும்,เสียงปรบมือ,alkış,clapping,shay'izandla
